playerid,player,salary,opp,pos,team,proj,floor,ceil
1849699,Lynn Bowden Jr.,3500,BUF,WR,MIA,7.99,2.9,14.1
36941,Leonard Fournette,5800,ATL,RB,TB,7.17,1.3,13.8
982599,Lil'Jordan Humphrey,200,CAR,WR,NO,1.64,0.15999999999999998,6.3
328097,Lamar Jackson,8000,CIN,QB,BAL,22.92,12.2,35.6
11671,LeSean McCoy,4000,ATL,RB,TB,1.22,0.05499999999999999,5.5
1844522,Laviska Shenault,4200,IND,WR,JAC,14.19,7.2,21.8
13123,Lee Smith,2800,MIA,TE,BUF,2.41,0.35250000000000004,6.3
13126,Luke Stocker,2500,TBB,TE,ATL,1.72,0.18,4.9
16631,Levine Toilolo,2500,DAL,TE,NYG,0.44,-0.14,3.6
35473,Laquon Treadwell,3000,TBB,WR,ATL,5.6,1.6,11.4
36928,Mo Alie-Cox,2500,JAC,TE,IND,4.36,1.1,8.3
328096,Mark Andrews,5800,CIN,TE,BAL,13.02,6.5,19.7
16560,Matt Barkley,4800,MIA,QB,BUF,4.02,0.7549999999999999,9.4
328302,Mike Boone,4000,DET,RB,MIN,5.29,0.8,11.5
981968,Miles Boykin,3000,CIN,WR,BAL,3.53,0.0,8.9
37060,Matt Breida,4000,BUF,RB,MIA,0.3,-0.175,4.7
21789,Malcolm Brown,4300,ARI,RB,LAR,9.88,3.2,18.0
972489,Marquise Brown,5900,CIN,WR,BAL,10.86,4.7,18.5
1844773,Marquez Callaway,3200,CAR,WR,NO,11.14,5.3,17.8
18287,Mike Evans,7500,ATL,WR,TB,16.73,8.9,25.0
328582,Michael Gallup,5000,NYG,WR,DAL,10.39,4.6,17.0
982233,Myles Gaskin,6500,BUF,RB,MIA,17.27,7.9,27.2
328364,Mike Gesicki,4200,BUF,TE,MIA,9.53,4.5,15.2
16558,Mike Glennon,4900,IND,QB,JAC,17.84,9.9,26.0
21773,Melvin Gordon,5700,LVR,RB,DEN,16.4,6.9,25.3
982694,Mecole Hardman,4200,LAC,WR,KC,12.67,6.0,19.8
36971,Mack Hollins,3200,BUF,WR,MIA,4.36,0.9,9.2
13592,Marvin Jones,5100,MIN,WR,DET,16.15,8.4,23.9
11792,Marcedes Lewis,2500,CHI,TE,GB,1.55,0.1375,5.4
1844362,Malcolm Perry,3000,BUF,WR,MIA,0.62,-0.095,4.5
1844489,Michael Pittman,4100,JAC,WR,IND,8.15,3.2,14.7
21627,MyCole Pruitt,2500,HOU,TE,TEN,1.05,0.012500000000000011,4.1
